X,Y,primaryindex,nummer,brunnenart_txt,historisches_baujahr,wasserart_txt,bezeichnung
8.55372225797113,47.3588838928783,781,1028,Brunnen in städtischer Liegenschaft,1978,Verteilnetz,Freizeitanlage Bodmergut
8.52443079980653,47.3404554740834,782,1029,privater Brunnen,,Verteilnetz,Kantonale Gehörlosen-Schule
8.5102014023995,47.4189080979936,783,1031,privater Brunnen,1979,Verteilnetz,
8.51405644048,47.4233172475811,784,1032,Brunnen in städtischer Liegenschaft,1979,Verteilnetz,Primarschulhaus Isengrind
8.5448535007681,47.4207237205572,785,1034,Brunnen in städtischer Liegenschaft,1979,Verteilnetz,bei Schulschwimmanlage Buhn
8.53123814916454,47.3330091199103,786,1035,Brunnen in städtischer Liegenschaft,1979,Verteilnetz,Seewasserwerk Moos
8.51616096305421,47.3327093377352,787,1036,privater Brunnen,1979,Verteilnetz,bei Kirche
8.56429053823305,47.3648100661881,788,1037.1,Brunnen in städtischer Liegenschaft,1979,Verteilnetz,Altersheim
8.5647983962182,47.3644085252017,789,1037.2,Brunnen in städtischer Liegenschaft,1979,Verteilnetz,Altersheim
8.56534359983434,47.3644739186984,790,1037.3,Brunnen in städtischer Liegenschaft,1979,Verteilnetz,Altersheim
8.56487762397384,47.3649062670502,791,1038,Brunnen in städtischer Liegenschaft,1979,Verteilnetz,Altersheim
8.47843810102943,47.3839814770068,792,1040,Brunnen in städtischer Liegenschaft,1979,Verteilnetz,Schulhaus Buchlern
8.47928922707938,47.3840226569631,793,1039,Brunnen in städtischer Liegenschaft,1979,Verteilnetz,Schulhaus Buchlern
8.52936841231356,47.4124609149038,794,1043,privater Brunnen,1981,Verteilnetz,
8.56725686300801,47.4025025359821,795,1044,Brunnen mit eigener Versorgung,,eigene Versorgung,
8.48812271478744,47.3983708482131,796,1047,Brunnen in städtischer Liegenschaft,1981,Verteilnetz,bei Pumpwerk Fischerweg
8.50088219196392,47.3942266267416,797,1051,Brunnen in städtischer Liegenschaft,1981,Verteilnetz,oberhalb Anreicherungsbecken 2
8.51006759320992,47.3690959220469,798,1052,Brunnen mit eigener Versorgung,1981,Quellwasser,Ueberbauung Heuried
8.51949608329681,47.3641738848298,799,1053,Brunnen mit eigener Versorgung,1981,Quellwasser,
8.52791364490549,47.3723919959934,800,1055,privater Brunnen,1981,Verteilnetz,
8.52159831789984,47.3394157897231,801,1058,Brunnen mit eigener Versorgung,,Quellwasser,
8.48049634618575,47.4120329147903,802,1062,privater Brunnen,1981,Verteilnetz,
8.54808902076944,47.3747313242316,803,1071,privater Brunnen,,Verteilnetz,Eingang Universität Zürich
8.54344031824718,47.3773080851691,804,1074,privater Brunnen,1983,Verteilnetz,Haus Publicitas
8.51020776545016,47.4250713504237,805,1085,Brunnen in städtischer Liegenschaft,1983,Verteilnetz,Gemeinschaftszentrum Pro Juventute
8.54741753787228,47.3672498921759,806,1086,öffentlicher Brunnen,1983,Verteilnetz,Stadelhofer-Passage
8.50689762820628,47.4016361357604,807,1095,Brunnen in städtischer Liegenschaft,1983,Verteilnetz,
8.54828810465245,47.3973828733687,808,1098,privater Brunnen,1984,Verteilnetz,Universität Strickhof
8.60247332972365,47.3549283562122,809,1099,Brunnen in städtischer Liegenschaft,1984,Verteilnetz,Krankenheim Witikon
8.51734521469527,47.3951750589362,810,1100.2,Brunnen in städtischer Liegenschaft,1984,Verteilnetz,Altersheim Sydefädeli
8.51761547322197,47.3954312154169,811,1100.1,Brunnen in städtischer Liegenschaft,1984,Verteilnetz,Altersheim Sydefädeli
