X;Y;X;Y;primaryind;nummer;brunnenart;historisch;wasserart_;bezeichnun;Y-dms;X_dms
8.599255291809961;47.369752394156698;8.599255291809962;47.369752394156698;1;510.000000000000000;öffentlicher Brunnen;1970;Verteilnetz;Aussichtsturm;"N47°22'11.10""";"E8°35'57.31"""
8.5908112950803;47.369292620166398;8.590811295080300;47.369292620166398;2;349.000000000000000;öffentlicher Brunnen;1933;Verteilnetz;;"N47°22'9.453""";"E8°35'26.92"""
8.57575392152858;47.366129937234703;8.575753921528580;47.366129937234703;3;365.000000000000000;öffentlicher Brunnen;1965;Quellwasser;Biberlinterrasse;"N47°21'58.06""";"E8°34'32.71"""
8.564845390159681;47.370993039335502;8.564845390159681;47.370993039335502;4;338.000000000000000;öffentlicher Brunnen;1910;Quellwasser;;"N47°22'15.57""";"E8°33'53.44"""
8.564390324733081;47.3693266995217;8.564390324733081;47.369326699521700;5;6069.000000000000000;Notwasserbrunnen;1988;Quellwasser;;"N47°22'9.576""";"E8°33'51.80"""
8.56011028155428;47.365197446557097;8.560110281554280;47.365197446557097;6;317.000000000000000;öffentlicher Brunnen;1903;Quellwasser;;"N47°21'54.71""";"E8°33'36.39"""
8.56221457421017;47.365123615596403;8.562214574210170;47.365123615596403;7;329.000000000000000;öffentlicher Brunnen;1907;Quellwasser;;"N47°21'54.44""";"E8°33'43.97"""
8.56030253817775;47.366986613183599;8.560302538177750;47.366986613183599;8;327.000000000000000;öffentlicher Brunnen;1906;Quellwasser;;"N47°22'1.151""";"E8°33'37.08"""
8.55695967858588;47.368493503970598;8.556959678585880;47.368493503970598;9;315.000000000000000;öffentlicher Brunnen;1903;Quellwasser;;"N47°22'6.576""";"E8°33'25.05"""
8.555890549154631;47.369543721253798;8.555890549154631;47.369543721253798;10;313.000000000000000;öffentlicher Brunnen;1892;Quellwasser;;"N47°22'10.35""";"E8°33'21.20"""
8.5581664009924;47.371336470621202;8.558166400992400;47.371336470621202;11;6021.000000000000000;Notwasserbrunnen;1978;Quellwasser;;"N47°22'16.81""";"E8°33'29.39"""
8.560288496360149;47.368405228517403;8.560288496360149;47.368405228517403;12;360.000000000000000;öffentlicher Brunnen;1948;Quellwasser;;"N47°22'6.258""";"E8°33'37.03"""
8.561561893574821;47.370204899822397;8.561561893574821;47.370204899822397;13;736.000000000000000;privater Brunnen;1905;Quellwasser;;"N47°22'12.73""";"E8°33'41.62"""
8.56577309125562;47.367252547853901;8.565773091255620;47.367252547853901;14;343.000000000000000;öffentlicher Brunnen;1928;Verteilnetz;;"N47°22'2.109""";"E8°33'56.78"""
8.564052625733231;47.366365451973302;8.564052625733231;47.366365451973302;15;308.000000000000000;öffentlicher Brunnen;1880;Quellwasser;;"N47°21'58.91""";"E8°33'50.58"""
8.564745243177351;47.365511775014603;8.564745243177351;47.365511775014603;16;6060.000000000000000;Notwasserbrunnen;1986;Quellwasser;;"N47°21'55.84""";"E8°33'53.08"""
8.566123332054319;47.3648122421368;8.566123332054319;47.364812242136800;17;319.000000000000000;öffentlicher Brunnen;1951;Quellwasser;Klusplatz;"N47°21'53.32""";"E8°33'58.04"""
8.55384451674936;47.370533831759801;8.553844516749360;47.370533831759801;18;322.000000000000000;öffentlicher Brunnen;1905;Quellwasser;;"N47°22'13.92""";"E8°33'13.84"""
8.55440458556796;47.36926704695;8.554404585567960;47.369267046950000;19;311.000000000000000;öffentlicher Brunnen;1892;Quellwasser;;"N47°22'9.361""";"E8°33'15.85"""
8.5492227012504;47.3709461053163;8.549222701250400;47.370946105316300;20;783.000000000000000;privater Brunnen;1905;Quellwasser;bei der Turnhalle;"N47°22'15.40""";"E8°32'57.20"""
8.550185041355849;47.368983951627001;8.550185041355849;47.368983951627001;21;40.000000000000000;öffentlicher Brunnen;1905;Quellwasser;;"N47°22'8.342""";"E8°33'0.666"""
8.555079537659591;47.3673976672045;8.555079537659591;47.367397667204500;22;350.000000000000000;öffentlicher Brunnen;1934;Quellwasser;Merkurplatz;"N47°22'2.631""";"E8°33'18.28"""
8.558569287825881;47.366816522518597;8.558569287825881;47.366816522518597;23;359.000000000000000;öffentlicher Brunnen;1941;Quellwasser;;"N47°22'0.539""";"E8°33'30.84"""
8.566850417112461;47.368677240345797;8.566850417112461;47.368677240345797;24;358.000000000000000;öffentlicher Brunnen;1939;Verteilnetz;;"N47°22'7.238""";"E8°34'0.661"""
8.552027350614191;47.365913179355502;8.552027350614191;47.365913179355502;25;746.000000000000000;Brunnen in städtischer Liegenschaft;;Verteilnetz;;"N47°21'57.28""";"E8°33'7.298"""
8.569772837560251;47.364485275950898;8.569772837560251;47.364485275950898;26;339.000000000000000;öffentlicher Brunnen;1913;Verteilnetz;;"N47°21'52.14""";"E8°34'11.18"""
8.57077016975768;47.369013480016001;8.570770169757680;47.369013480016001;27;1054.000000000000000;Brunnen in städtischer Liegenschaft;1981;Verteilnetz;Pumpwerk Sonnenberg;"N47°22'8.448""";"E8°34'14.77"""
8.580996212999191;47.3659999972094;8.580996212999191;47.365999997209400;28;712.000000000000000;Brunnen des Verschönerungsvereins;1964;Quellwasser;bei Hütte;"N47°21'57.59""";"E8°34'51.58"""
8.5452504059626;47.365584622012499;8.545250405962600;47.365584622012499;29;61.000000000000000;öffentlicher Brunnen;1939;Quellwasser;bei Schifflände;"N47°21'56.10""";"E8°32'42.90"""
8.545497421229481;47.366747885395696;8.545497421229481;47.366747885395696;30;59.000000000000000;öffentlicher Brunnen;1938;Quellwasser;grosser Brunnen;"N47°22'0.292""";"E8°32'43.79"""
8.544632432271699;47.368508700575298;8.544632432271699;47.368508700575298;31;2.000000000000000;öffentlicher Brunnen;1506;Quellwasser;Hechtplatzbrunnen;"N47°22'6.631""";"E8°32'40.67"""
8.54515870850997;47.369020809815297;8.545158708509970;47.369020809815297;32;878.000000000000000;öffentlicher Brunnen;1872;Quellwasser;;"N47°22'8.474""";"E8°32'42.57"""
8.54766316177933;47.366113602047101;8.547663161779330;47.366113602047101;33;26.000000000000000;öffentlicher Brunnen;1869;Verteilnetz;Fontäne Stadelhofen;"N47°21'58.00""";"E8°32'51.58"""
8.54793617926615;47.366274575305297;8.547936179266150;47.366274575305297;34;55.000000000000000;öffentlicher Brunnen;1935;Quellwasser;Trinkbrunnen;"N47°21'58.58""";"E8°32'52.57"""
8.5467953020806;47.366879560125;8.546795302080600;47.366879560125000;35;745.000000000000000;privater Brunnen;1941;Quellwasser;;"N47°22'0.766""";"E8°32'48.46"""
8.548717163193629;47.367632359132301;8.548717163193629;47.367632359132301;36;80.000000000000000;öffentlicher Brunnen;1870;Quellwasser;obere Anlage;"N47°22'3.476""";"E8°32'55.38"""
8.543689129833989;47.370899126577399;8.543689129833989;47.370899126577399;37;1018.000000000000000;öffentlicher Brunnen;1977;Verteilnetz;;"N47°22'15.23""";"E8°32'37.28"""
8.54364794368899;47.371335695760401;8.543647943688990;47.371335695760401;38;73.000000000000000;öffentlicher Brunnen;1957;Quellwasser;;"N47°22'16.80""";"E8°32'37.13"""
8.54467316801005;47.371207173840901;8.544673168010050;47.371207173840901;39;13.000000000000000;öffentlicher Brunnen;1604;Quellwasser;im Meyershof;"N47°22'16.34""";"E8°32'40.82"""
8.54540839731281;47.370784716578399;8.545408397312810;47.370784716578399;40;740.000000000000000;privater Brunnen;;Quellwasser;;"N47°22'14.82""";"E8°32'43.47"""
8.545047014110731;47.367911570505498;8.545047014110731;47.367911570505498;41;43.000000000000000;öffentlicher Brunnen;1908;Quellwasser;Limmatquai;"N47°22'4.481""";"E8°32'42.16"""
8.544675591975899;47.370260850868704;8.544675591975899;47.370260850868704;42;23.000000000000000;öffentlicher Brunnen;1861;Quellwasser;Hintermünsterbrunnen;"N47°22'12.93""";"E8°32'40.83"""
8.54380656656136;47.370473278575403;8.543806566561360;47.370473278575403;43;22.000000000000000;öffentlicher Brunnen;1838;Quellwasser;;"N47°22'13.70""";"E8°32'37.70"""
8.545394561865241;47.3696145515935;8.545394561865241;47.369614551593500;44;12.000000000000000;öffentlicher Brunnen;1591;Quellwasser;Klausbrunnen;"N47°22'10.61""";"E8°32'43.42"""
8.5957375028035;47.351968375978799;8.595737502803500;47.351968375978799;45;709.000000000000000;Brunnen des Verschönerungsvereins;1907;Quellwasser;In der Chellen;"N47°21'7.086""";"E8°35'44.65"""
8.54664899132904;47.370664205573803;8.546648991329040;47.370664205573803;46;27.000000000000000;öffentlicher Brunnen;1900;Quellwasser;;"N47°22'14.39""";"E8°32'47.93"""
8.54733802123941;47.370566139768698;8.547338021239410;47.370566139768698;47;523.000000000000000;Brunnen in städtischer Liegenschaft;;Quellwasser;;"N47°22'14.03""";"E8°32'50.41"""
8.547703200094681;47.370885380309502;8.547703200094681;47.370885380309502;48;15.000000000000000;öffentlicher Brunnen;1726;Quellwasser;;"N47°22'15.18""";"E8°32'51.73"""
8.546600459480709;47.369723120338101;8.546600459480709;47.369723120338101;49;20.000000000000000;öffentlicher Brunnen;1842;Quellwasser;Trittligasse;"N47°22'11.00""";"E8°32'47.76"""
8.54770602317566;47.369451074016403;8.547706023175660;47.369451074016403;50;25.000000000000000;öffentlicher Brunnen;1866;Verteilnetz;oberer Hirschengraben;"N47°22'10.02""";"E8°32'51.74"""
8.579200646239491;47.362667343750701;8.579200646239491;47.362667343750701;51;723.000000000000000;Brunnen des Verschönerungsvereins;;Quellwasser;Quelle und Brunnen;"N47°21'45.60""";"E8°34'45.12"""
8.543092092385679;47.3710498210447;8.543092092385679;47.371049821044700;52;4.000000000000000;öffentlicher Brunnen;1431;Quellwasser;"Fischmarkt-, Samsonbrunnen";"N47°22'15.77""";"E8°32'35.13"""
8.590394719224189;47.358603749320999;8.590394719224189;47.358603749320999;53;362.000000000000000;öffentlicher Brunnen;1950;Verteilnetz;;"N47°21'30.97""";"E8°35'25.42"""
8.575736842884631;47.361009822857;8.575736842884631;47.361009822857000;54;724.000000000000000;Brunnen mit eigener Versorgung;;Quellwasser;;"N47°21'39.63""";"E8°34'32.65"""
8.59469923835224;47.357451274375101;8.594699238352240;47.357451274375101;55;792.000000000000000;privater Brunnen;;Verteilnetz;bei der Kirche;"N47°21'26.82""";"E8°35'40.91"""
8.58353175382234;47.358372079678801;8.583531753822340;47.358372079678801;56;356.000000000000000;öffentlicher Brunnen;1938;Verteilnetz;;"N47°21'30.13""";"E8°35'0.714"""
8.58626308197243;47.357921073469903;8.586263081972430;47.357921073469903;57;1004.000000000000000;privater Brunnen;;Verteilnetz;Ref. Kirchgemeinde Witikon;"N47°21'28.51""";"E8°35'10.54"""
8.56906444221624;47.358641088011197;8.569064442216240;47.358641088011197;58;973.000000000000000;Brunnen in städtischer Liegenschaft;1975;Verteilnetz;unterhalb Forchstrasse;"N47°21'31.10""";"E8°34'8.631"""
8.56883733712692;47.360114967473699;8.568837337126920;47.360114967473699;59;307.000000000000000;öffentlicher Brunnen;1928;Quellwasser;;"N47°21'36.41""";"E8°34'7.814"""
8.56276284715767;47.363259906466702;8.562762847157670;47.363259906466702;60;596.000000000000000;Brunnen in städtischer Liegenschaft;1894;Verteilnetz;Schulhaus Freiestrasse;"N47°21'47.73""";"E8°33'45.94"""
8.56655997399406;47.364072939153601;8.566559973994060;47.364072939153601;61;353.000000000000000;öffentlicher Brunnen;1936;Verteilnetz;;"N47°21'50.66""";"E8°33'59.61"""
8.556606291576649;47.358668726772002;8.556606291576649;47.358668726772002;62;935.000000000000000;Brunnen mit eigener Versorgung;1734;Quellwasser;im Hof;"N47°21'31.20""";"E8°33'23.78"""
8.55421179450552;47.3617585920911;8.554211794505520;47.361758592091100;63;392.000000000000000;öffentlicher Brunnen;1903;Quellwasser;;"N47°21'42.33""";"E8°33'15.16"""
8.553769882968631;47.360820424146503;8.553769882968631;47.360820424146503;64;372.000000000000000;öffentlicher Brunnen;1870;Quellwasser;;"N47°21'38.95""";"E8°33'13.57"""
8.529264447939781;47.355597612970399;8.529264447939781;47.355597612970399;65;138.000000000000000;öffentlicher Brunnen;1932;Quellwasser;;"N47°21'20.15""";"E8°31'45.35"""
8.506170093264331;47.365576109705003;8.506170093264331;47.365576109705003;66;763.000000000000000;privater Brunnen;1945;Verteilnetz;am Kehrplatz innerhalb der Wohnkolonie;"N47°21'56.07""";"E8°30'22.21"""
8.49867432729943;47.369679091328202;8.498674327299430;47.369679091328202;67;1149.000000000000000;öffentlicher Brunnen;1990;Verteilnetz;;"N47°22'10.84""";"E8°29'55.22"""
8.50528090643701;47.369146531229397;8.505280906437010;47.369146531229397;68;208.000000000000000;öffentlicher Brunnen;1945;Verteilnetz;Tramschleife Heuried;"N47°22'8.927""";"E8°30'19.01"""
8.54105170448819;47.3695066662778;8.541051704488190;47.369506666277800;69;519.000000000000000;Brunnen in städtischer Liegenschaft;1913;Quellwasser;im Durchgang Stadthaus u. Kirche;"N47°22'10.22""";"E8°32'27.78"""
8.50247409527581;47.365163102452499;8.502474095275810;47.365163102452499;70;6048.000000000000000;Notwasserbrunnen;1983;Quellwasser;;"N47°21'54.58""";"E8°30'8.906"""
8.51905023597662;47.368630484282498;8.519050235976620;47.368630484282498;71;6030.000000000000000;Notwasserbrunnen;1979;Quellwasser;bei Kollerwiese;"N47°22'7.069""";"E8°31'8.580"""
8.52275893321719;47.368546376255203;8.522758933217190;47.368546376255203;72;987.000000000000000;Brunnen in städtischer Liegenschaft;1975;Verteilnetz;Spielplatz;"N47°22'6.766""";"E8°31'21.93"""
8.52037321793385;47.371232308778303;8.520373217933850;47.371232308778303;73;172.000000000000000;öffentlicher Brunnen;1873;Quellwasser;;"N47°22'16.43""";"E8°31'13.34"""
8.52054499743759;47.3700164664548;8.520544997437590;47.370016466454800;74;1167.000000000000000;öffentlicher Brunnen;1993;Quellwasser;Schmiede Wiedikon;"N47°22'12.05""";"E8°31'13.96"""
8.51780124797126;47.370597178199802;8.517801247971260;47.370597178199802;75;171.000000000000000;öffentlicher Brunnen;1873;Verteilnetz;;"N47°22'14.14""";"E8°31'4.084"""
8.517577906626;47.369335504512499;8.517577906626000;47.369335504512499;76;178.000000000000000;öffentlicher Brunnen;1937;Verteilnetz;;"N47°22'9.607""";"E8°31'3.280"""
8.517197037262241;47.368351622332199;8.517197037262241;47.368351622332199;77;183.000000000000000;öffentlicher Brunnen;1953;Verteilnetz;;"N47°22'6.065""";"E8°31'1.909"""
8.510675526345111;47.3679738761682;8.510675526345111;47.367973876168200;78;206.000000000000000;öffentlicher Brunnen;1943;Verteilnetz;;"N47°22'4.705""";"E8°30'38.43"""
8.515928939771211;47.366065787842999;8.515928939771211;47.366065787842999;79;6024.000000000000000;Notwasserbrunnen;1979;Quellwasser;;"N47°21'57.83""";"E8°30'57.34"""
