"TITEL";"DATIERUNG";"GATTUNG";"MATERIAL";"KUENSTLER";"STANDORT";"Easting";"Northing";"Easting_WGS";"Northing_WGS";"ID_IMAGES"
[Brunnen mit Plastik "Frosch"];1933;Brunnen;Bronze (Plastik), Stein (Sockel, Brunnen);Salvatore Francesco Romerio (1885-1943);Eugen-Huber-Strasse/Friedhofstrasse (bei Eugen-Huber-Strasse 41);2678711.976;1248884.518;8.48107179598453;47.3860882711482;kir3615
[Brunnenschale];1953;Brunnen;Tessiner-Granit;Ernst Zietzschmann (1907-1991);Grünanlage Eugen Hubertstrasse/Girhaldenstrasse (bei Eugen Hubertstrasse 70);2678393.69;1249038.362;8.47688392296986;47.3875098069927;kir4370
Fünf Brunnen (I) (fünfteiliges Werk);1981;Brunnen;Cristallina-Marmor;Charlotte Germann-Jahn (1921-1988);Fischerweg (bei Tüffenwies 42);2679227.097;1250256.821;8.48813620171669;47.3983682001328;kir4123
Fünf Brunnen (II) (fünfteiliges Werk);1981;Brunnen;Cristallina-Marmor;Charlotte Germann-Jahn (1921-1988);Sportanlage Hardhof (bei Meierwiesenweg 8);2679585.607;1249852.969;8.49281290679317;47.3946929837492;kir3123
Fünf Brunnen (III) (fünfteiliges Werk);1981;Brunnen;Cristallina-Marmor;Charlotte Germann-Jahn (1921-1988);Sportanlage Hardhof (bei Hardhof 44);2679852.328;1249959.729;8.49636451615929;47.3956208379003;kir3124
Fünf Brunnen (IV) (fünfteiliges Werk);1981;Brunnen;Cristallina-Marmor;Charlotte Germann-Jahn (1921-1988);Grünanlage Hardhof (bei Pfingstweidstrasse 51);2680192.645;1249810.569;8.50084513015454;47.3942380422876;kir3125
Fünf Brunnen (V) (fünfteiliges Werk);1981;Brunnen;Cristallina-Marmor;Charlotte Germann-Jahn (1921-1988);Fischerweg (bei Hardhof 19);2680126.659;1250161.709;8.50003410151059;47.3974040056293;kir4230
Funktionär;nicht bekannt;Installation;Holz;Max Ramp (1937-2006);Tramendstation Hardturm (bei Hardturmstrasse 421);2680268.68;1249811.547;8.50185233119551;47.3942375768098;kir4066
IBM-Stengel;1990-1991;Freiplastik;Eisen (Plastik), Beton (Sockel);Bernhard Luginbühl (1929-2011);Grünanlage vor Bahnhof Altstetten (bei Altstetterplatz 11);2679266.755;1249455.587;8.48851949201028;47.3911576149562;kir3727
"Knabe mit Aal";1937;Brunnen;Bronze (Plastik), Segheria-Granit (Brunnentrog);Otto Heinrich Schilt (1888-1943);Luggwegstrasse/Badenerstrasse (bei Luggwegstrasse 40);2679445.856;1249002.989;8.49081104339822;47.3870656416642;kir3653
[Sitzendes Mädchen mit Turban];1932 (platziert 1946);Brunnen;Bronze (Plastik), Castione-Granit (Brunnen und Sockel);Estrid Christensen (1884-1968);Platzanlage Friedhofstrasse/Girhaldenstrasse (bei Friedhofstrasse 84);2678267.011;1248624.668;8.47513399765178;47.3838043362253;kir3678
Sunrise;1974;Freiplastik;Glasfaserverstärktes ungesättigtes Polyester, Stahl, Beton;Annemie Fontana (1925-2002);Grünanlage Hardhof (bei Hardhof 19);2680103.318;1249975.772;8.49969164791864;47.3957346438909;kir4065
[Trinkwasserbrunnen];1971;Brunnen;Bronze (Wasserspeier), Castione-Naturstein (Brunnentrog);Walter Thomas Casanova (1918-1999);Stampfenbrunnenstrasse/Rautistrasse (bei Rautistrasse 284);2678463.264;1248751.886;8.47775502794328;47.3849251211048;kir4372
Wasserspiel;1975 (platziert 1977);Brunnen;Spritzbeton aus Weisszement und Marmorsand;Heinz Niederer (*1942);Grünanlage Hardhof (bei Hardturmstrasse 421);2680407.276;1249807.063;8.5036871227545;47.394180347051;kir3879
[Brunnen Badeplatz];1988;Brunnen;Nagelfluh-Findling;Paul Sieber (*1942);Flussbad Au-Höngg (bei Werdinsel 1a);2679345.253;1250361.485;8.48971978181373;47.399295260613;kir3376
[Brunnen mit geflügeltem Fisch];1949;Brunnen;Bronze, Stein;Otto Teucher (1899-1994);Friedhof Hönggerberg (bei Notzenschürlistrasse 30);2679538.874;1251520.688;8.49249060288779;47.4096970393955;kir4360
[Brunnen zur Eingemeidung];1984;Brunnen;Sardinien-Granit;Piero Tedoldi (*1945);Parkplatz Sportanlage Hönggerberg (bei Kappenbühlstrasse 74);2679718.574;1251478.21;8.49486371141276;47.4092932909426;kir3363
"Pietà";1941 (platziert 1950);Freiplastik;Cristallina-Marmor;Emilio Stanzani (1906-1977);Friedhof Hönggerberg (bei Notzenschürlistrasse 30);2679454.259;1251520.902;8.49136965231872;47.4097091785665;kir4058
[Platzgestaltung, Trinkbrunnen und Wasserspiel der Tramendstation Frankental];1986-1987;Brunnen;Metall, Stein;Hans Hunold (1939-2009);Tramendstation Frankental (bei Frankentalerstrasse 10);2678714.281;1251027.618;8.48147947562006;47.4053617586002;kir4071
[Tränkbrunnen];nicht bekannt (versetzt 1957);Brunnen;Kalkstein (Brunnen), Bronze (Rohr);Hans Jakob Meyer (1903-1981);Platzanlage Gsteigststrasse (bei Gsteigstrasse 18);2680107.176;1250760.803;8.49988336595279;47.4027942449159;kir4108
"Bär";1958;Freiplastik;Granit;Arnold Huggler (1894-1988);GZ Wipkingen, Spielplatz (bei Breitensteinstrasse 19a);2681645.341;1249664.39;8.52005823669867;47.3927449472852;kir4081
[Brunnen];1923;Brunnen;Stein;O. Zollinger (1886-1970);Spielplatz Landenberg (Kyburgstrasse/Landenbergstrasse);2682243.31;1249639.241;8.5279729972527;47.3924443868222;kir4371
[Brunnen "Quellennymphe mit Krug"];1928 (platziert 1930);Brunnen;Bronze, Stein, Messing;Werner Friedrich Kunz (1896-1981);Grünanlage Breitensteinstrasse/Hönggerstrasse (bei Hönggerstrasse 71);2681815.997;1249700.769;8.52232502763821;47.3930509421497;kir4079
[Ohne Titel];1955;Brunnen;Beton;KünstlerIn nicht bekannt;GZ Wipkingen, Spielplatz (bei Breitensteinstrasse 19a);2681630.872;1249670.638;8.51986775203101;47.3928029309492;kir3954
Rationierungsbrunnen;1919;Brunnen;Stein;Hochbauamt der Stadt Zürich, Hans Gisler (1889-1969), Joseph von  Wyl;Platzanlage vor Wohnkolonie "Schindelhäuser" (bei Trottenstrasse 15);2681895.345;1249904.183;8.52341314747852;47.3948704537081;kir4150
[Rotkäppchen];1945;Freiplastik;Stein;Uli Schoop (1903-1990);Grünanlage Landenberg (bei Zeunerstrasse 3);2682177.361;1249600.73;8.52709251146978;47.3921062748859;kir3878
"Zwei Löwen";1945;Freiplastik;Jura-Marmor;Arnold Huggler (1894-1988);Grünanlage Landenberg (bei Habsburgstrasse 15);2682181.218;1249580.684;8.52713990939469;47.3919255131732;kir3877
[Brunnenanlage mit "Pelikan"];1935;Brunnen;Bronze;Alfred Schuhmacher (1883-1981);Platzanlage Wenthalerstrasse/Regensbergstrasse (bei Regensbergstrasse 318);2682018.044;1251778.771;8.52538207308253;47.4117139444523;kir4014
[Brunnenbecken, Figurenpaar "Kinder" auf Stele];1965;Brunnen;Bronze (Plastik), Stein (Brunnen, Sockel);Susi Guggenheim-Weil (1921-2005);Siedlung Glaubten II (bei Glaubtenstrasse 93);2681234.916;1251817.51;8.51501379919424;47.4121594129358;kir4395
[Sitzende Frau mit Taube];1950-1951;Freiplastik;Stein;Uli Schoop (1903-1990);Friedhof Affoltern (bei Zehntenhausstrasse 90);2680763.273;1253081.008;8.50899349422774;47.4235804424577;kir3948
[Wappen von Affoltern];nicht datiert;Bauplastik;Sandstein;Uli Schoop (1903-1990);Friedhof Affoltern (bei Zehntenhausstrasse 90);2680730.812;1253157.916;8.50857723305909;47.4242760790745;kir4358
[Badende];1959 (platziert 1965);Freiplastik;Bronze;Hans Brandenberger (1912-2003 );Baumackeranlage (bei Baumackerstrasse 19);2683480.926;1251449.022;8.54470146120764;47.4085645891947;kir2936
Blauer Glasbalken;2001-2005;Installation;Glasbausteine, Beton, Leuchtstoffröhren;Christopher T. Hunziker (*1956);Wahlenpark (bei Otto-Schütz-Weg 1);2683232.434;1252244.954;8.54155772371462;47.4157540689689;kir4412
[Brunnen "Knabe mit Ball"];1944;Brunnen;Aluminium, Verzasca-Granit;Adolf Ernst Hofmann (1885-1963), Emil Schäfer (1878-1958);Spielwiese Waldgarten (bei Regensbergstrasse/Binzwiesenstrasse);2684306.259;1250997.718;8.5555500992556;47.4044007509687;kir4323
[Brunnen mit "Fuchs"];1937 (Brunnen), 1941 (Plastik);Brunnen;Bronze (Plastik), Stein (Brunnen, Sockel);Emil Schäfer (1878-1958), Arnold Huggler (1894-1988);Berninaplatz (bei Schaffhauserstrasse 248);2683713.823;1250852.66;8.54767514328515;47.4031717789558;kir4089
